Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea,LSOA21 Code,Lower layer super output area 2021,MSOA21 Code,Middle layer super output area 2021,Census output area 2021,IMD decile,Constituency Code 2024,Constituency Name 2024,Property Type,Roads
DD1 3AG,No,56.46375,-2.961182,340871.0,730593.0,NO408305,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,2002-08-01,2005-01-01,,,,,,Docks and Wellgate - 04,Large urban area,Scotland,6.0,,S01007710,,S02001449,Docks and Wellgate,,S00099550,2116,1,0,2024-12-20,Dundee,1.01472,DD,DD1,Scotland,Scottish Water,9C8VF27Q+GG,,,Dundee,Eastern Scotland,Angus and Dundee City,,0.951699,,,,,S00148394,4.0,S14000075,Dundee Central,,
DD1 3JS,Yes,56.464603,-2.960132,340937.0,730687.0,NO409306,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1980-01-01,,,,0.0,0.0,,Docks and Wellgate - 04,Large urban area,Scotland,8.0,,S01007710,,S02001449,Docks and Wellgate,,S00099550,2116,1,0,2024-12-20,Dundee,1.1292,DD,DD1,Scotland,Scottish Water,9C8VF27Q+RW,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059002610,9059003445,9059054275,9059064611,9059082208,9059082209,9059082210,9059082212,9059082213,9059082214,9059082215,9059082216,9059082217,9059082218,9059082782,9059082790,9059082796,9059086544,9059086545,9059086548,9059091550,9059091617,9059096711,9059097090,9059097148,9059097719,9059102956,9059102958,10015469207,10024867024,10025423660",1.02658,,,,,S00148394,4.0,S14000075,Dundee Central,,"East Marketgait,East Whale Lane,Foundry Lane,Lower Princes Street,Peep O'day Lane"
DD1 9NQ,No,56.482034,-2.997544,338660.0,732660.0,NO386326,,Dundee City,Lochee,S12000042,S13002546,Scotland,S99999999,1980-01-01,1995-02-01,,,,,,Fairmuir - 03,Large urban area,Scotland,98.0,,S01007825,,S02001468,Fairmuir,,S00098838,4518,8,1,2024-12-20,Dundee,3.26667,DD,DD1,Scotland,Scottish Water,9C8VF2J2+RX,,,Dundee,Eastern Scotland,Angus and Dundee City,,3.33036,,,,,S00147657,7.0,S14000075,Dundee Central,,
DD1 9NY,No,56.463905,-2.960877,340890.0,730610.0,NO408306,,Dundee City,Maryfield,S12000042,S13002549,Scotland,S99999999,1985-03-01,1994-12-01,,,,,,Docks and Wellgate - 04,Large urban area,Scotland,6.0,,S01007710,,S02001449,Docks and Wellgate,,S00099550,2116,8,1,2024-12-20,Dundee,1.03978,DD,DD1,Scotland,Scottish Water,9C8VF27Q+HJ,,,Dundee,Eastern Scotland,Angus and Dundee City,,0.963352,,,,,S00148394,4.0,S14000075,Dundee Central,,
DD2 3DD,No,56.473114,-3.008511,337970.0,731677.0,NO379316,,Dundee City,Lochee,S12000042,S13002546,Scotland,S99999999,1992-10-01,2016-06-01,,,0.0,0.0,,Fairmuir - 05,Large urban area,Scotland,87.0,,S01007827,,S02001468,Fairmuir,,S00099439,3061,1,0,2024-12-20,Dundee,2.94236,DD,DD2,Scotland,Scottish Water,9C8RFXFR+6H,,,Dundee,Eastern Scotland,Angus and Dundee City,,2.21117,,,,,S00147964,5.0,S14000075,Dundee Central,,
DD2 3XN,Yes,56.473905,-3.005046,338185.0,731762.0,NO381317,,Dundee City,Lochee,S12000042,S13002546,Scotland,S99999999,1992-05-01,,,,0.0,0.0,,Fairmuir - 05,Large urban area,Scotland,95.0,,S01007827,,S02001468,Fairmuir,,S00099769,3061,1,0,2024-12-20,Dundee,2.83917,DD,DD2,Scotland,Scottish Water,9C8RFXFV+HX,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059000934,9059001759,9059025321,9059075158,9059075249,9059075250,9059075251,9059085605,9059086039,9059092908,9059092909,9059105812,9059105832,9059106098,9059106099,9059112729,9059112932,10015369815,10024856827,10025425063,10025425064",2.34201,,,,,S00147964,5.0,S14000075,Dundee Central,,"Harefield Road,High Street,Methven Street"
DD2 3XW,Yes,56.473905,-3.005046,338185.0,731762.0,NO381317,,Dundee City,Lochee,S12000042,S13002546,Scotland,S99999999,2024-09-01,,,,,,,Fairmuir - 05,Large urban area,Scotland,96.0,,S01007827,,S02001468,Fairmuir,,S00099769,3061,5,0,2024-12-20,Dundee,2.83917,DD,DD2,Scotland,,9C8RFXFV+HX,,,Dundee,Eastern Scotland,Angus and Dundee City,,2.34201,,,,,S00147964,5.0,S14000075,Dundee Central,,
DD3 8QB,Yes,56.482784,-2.99253,338970.0,732739.0,NO389327,,Dundee City,Lochee,S12000042,S13002546,Scotland,S99999999,1980-01-01,,,,0.0,0.0,,Fairmuir - 03,Large urban area,Scotland,97.0,,S01007825,,S02001468,Fairmuir,,S00098838,4518,1,0,2024-12-20,Dundee,3.20168,DD,DD3,Scotland,Scottish Water,9C8VF2M4+4X,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059077690,9059091174",3.47634,,,,,S00147657,7.0,S14000075,Dundee Central,,Clepington Road
DD3 8RX,Yes,56.480699,-2.994802,338827.0,732509.0,NO388325,,Dundee City,Lochee,S12000042,S13002546,Scotland,S99999999,1980-01-01,,,,0.0,0.0,,Fairmuir - 03,Large urban area,Scotland,99.0,,S01007825,,S02001468,Fairmuir,,S00098838,4518,1,0,2024-12-20,Dundee,3.05535,DD,DD3,Scotland,Scottish Water,9C8VF2J4+73,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059077669,9059077670,9059077671,9059077672,9059077673,9059077674,9059077675,9059077676,9059077678,9059077679,9059077681,9059077682,9059077683,9059077684,9059077685,9059077686,9059077687,9059077689,9059077691,9059077692,9059079421,9059080341,9059081750,9059081752,9059081753,9059081754,9059081755,9059081756,9059081845,9059091173,9059094158,9059094859,9059095575,9059097961,9059098225,9059098230,9059098767,9059102349,9059102350,9059102952,9059103368,9059106056,9059106583,9059106804,9059106805,9059106837,9059107458,9059107459,10024858971,10024864878,10024868071,10025424555",3.21843,,,,,S00147657,7.0,S14000075,Dundee Central,,"Clepington Road,Kingsway West"
DD3 8SF,No,56.481795,-2.991546,339029.0,732628.0,NO390326,,Dundee City,Lochee,S12000042,S13002546,Scotland,S99999999,1999-09-01,2000-01-01,,,,,,Fairmuir - 03,Large urban area,Scotland,100.0,,S01007825,,S02001468,Fairmuir,,S00098838,4518,1,1,2024-12-20,Dundee,3.07672,DD,DD3,Scotland,Scottish Water,9C8VF2J5+P9,,,Dundee,Eastern Scotland,Angus and Dundee City,,3.38015,,,,,S00147657,7.0,S14000075,Dundee Central,,
DD4 7SL,No,56.475914,-2.92342,343216.0,731915.0,NO432319,,Dundee City,East End,S12000042,S13002551,Scotland,S99999999,1998-01-01,1998-07-01,,,,,,Linlathen and Midcraigie - 04,Large urban area,Scotland,49.0,,S01007803,,S02001464,Linlathen and Midcraigie,,S00099124,115,8,1,2024-12-20,Broughty Ferry,3.23487,DD,DD4,Scotland,Scottish Water,9C8VF3GG+9J,,,Dundee,Eastern Scotland,Angus and Dundee City,,1.62964,,,,,S00147708,1.0,S14000075,Dundee Central,,
DD4 7XE,Yes,56.477139,-2.927914,342941.0,732055.0,NO429320,,Dundee City,East End,S12000042,S13002551,Scotland,S99999999,1992-10-01,,,,0.0,0.0,,Linlathen and Midcraigie - 04,Large urban area,Scotland,54.0,,S01007803,,S02001464,Linlathen and Midcraigie,,S00099124,115,1,0,2024-12-20,Dundee,3.511,DD,DD4,Scotland,Scottish Water,9C8VF3GC+VR,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059054409,9059085207,9059085208,9059085209,9059085210,9059085211,9059085212,9059085213,9059087088,9059087095,9059087286,9059087289,9059087777,9059087778,9059092931,9059097234,9059097910,9059099121,9059103616,9059105017,9059108138,9059112326,10024860872,10025271410",1.83987,,,,,S00147708,1.0,S14000075,Dundee Central,,"A972,Longtown Road,Longtown Street,Milton Of Craigie Road North,Milton Of Craigie Road South,Moffat Road"
DD4 7YW,No,56.477139,-2.927914,342941.0,732055.0,NO429320,,Dundee City,East End,S12000042,S13002551,Scotland,S99999999,2001-01-01,2001-01-01,,,,,,Linlathen and Midcraigie - 04,Large urban area,Scotland,54.0,,S01007803,,S02001464,Linlathen and Midcraigie,,S00099124,115,5,0,2024-12-20,Dundee,3.511,DD,DD4,Scotland,Scottish Water,9C8VF3GC+VR,,,Dundee,Eastern Scotland,Angus and Dundee City,,1.83987,,,,,S00147708,1.0,S14000075,Dundee Central,,
DD4 8JT,Yes,56.476873,-2.923772,343196.0,732022.0,NO431320,,Dundee City,East End,S12000042,S13002551,Scotland,S99999999,2002-12-01,,,,0.0,0.0,,Linlathen and Midcraigie - 04,Large urban area,Scotland,52.0,,S01007803,,S02001464,Linlathen and Midcraigie,,S00099124,115,1,0,2024-12-20,Broughty Ferry,3.28885,DD,DD4,Scotland,Scottish Water,9C8VF3GG+PF,,,Dundee,Eastern Scotland,Angus and Dundee City,"9059028801,9059033132,9059082646,9059087779,9059092932,9059092933,9059092934,9059092935,9059094288,9059098556,9059105192,10015386643,10015432737",1.74004,,,,,S00147708,1.0,S14000075,Dundee Central,,"Douglas Road,Longtown Road,Milton Of Craigie Road North,Milton Of Craigie Road South"
DD4 8LE,No,56.476762,-2.928976,342875.0,732014.0,NO428320,,Dundee City,East End,S12000042,S13002551,Scotland,S99999999,1990-09-01,2002-11-01,,,,,,Linlathen and Midcraigie - 04,Large urban area,Scotland,54.0,,S01007803,,S02001464,Linlathen and Midcraigie,,S00099124,115,1,0,2024-12-20,Dundee,3.43431,DD,DD4,Scotland,Scottish Water,9C8VF3GC+PC,,,Dundee,Eastern Scotland,Angus and Dundee City,,1.817,,,,,S00147708,1.0,S14000075,Dundee Central,,
